unnamed: 0,week_of_outbreak,state_ut,district,disease,cases,deaths,latitude,longitude,preci,lai,temp_c,date
0,1st week,Meghalaya,East Jaintia Hills,Acute Diarrhoeal Disease,160,,25.25157605,92.48405007,0.020353819,34.5,18.383333400000026,2022-01-02
1,2nd week,Maharashtra,Gadchiroli,Malaria,7,2.0,19.75907035,80.16228073,0.007479299,9.0,26.82000000000005,2022-01-10
2,3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8,,10.3826515,78.8191259,0.107412975,12.0,27.61666660000003,2022-01-18
3,3rd week,Gujarat,Patan,Acute Diarrhoeal Disease,7,,23.77405735,71.68373466,0.065094494,9.0,25.930000000000007,2022-01-11
4,3rd week,Kerala,Ernakulam,Acute Diarrhoeal Disease,14,,9.98408,76.2741457,0.041256081,33.0,29.878000000000043,2021-12-24
5,3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8,,10.3826515,78.8191259,0.107412975,12.0,27.61666660000003,2022-01-18
6,5th week,Uttar Pradesh,Fatehpur,Acute Encephalitis Syndrome,1,,25.8435395,80.91800397,0.099030119,,17.03000000000003,2022-01-24
7,6th week,Maharashtra,Gadchiroli,Malaria,1,1.0,19.75907035,80.16228073,8.36e-05,,26.9133334,2022-02-09
8,6th week,Odisha,Koraput,Acute Diarrhoeal Disease,15,,18.7232023,82.60811828,0.00049058,12.0,27.40666660000005,2022-02-11
9,7th week,Gujarat,Ahmedabad,Acute Diarrhoeal Disease,67,,23.0216238,72.5797068,7.25e-05,,29.403333400000008,2022-02-17
10,7th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,89,,23.41146995,87.84499445,0.003711026,,23.53000000000003,2022-02-17
11,7th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,5,,8.4882267,76.947551,0.348763274,37.0,29.805000000000007,2022-02-14
12,8th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,21,,22.5760669,88.42006758,0.133323552,10.0,26.07000000000005,2022-02-23
13,9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,,9.98408,76.2741457,0.051275566,40.0,29.74333340000004,2022-02-24
14,9th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,21,,22.5760669,88.42006758,0.133323552,10.0,26.07000000000005,2022-02-23
15,9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359,,22.642931,88.8930579,0.012725571,,26.57000000000005,2022-03-05
16,9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,,9.98408,76.2741457,0.051275566,40.0,29.74333340000004,2022-02-24
17,9th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,27,,13.3400771,77.1006208,6.49e-05,7.0,35.31333340000003,2022-03-03
18,9th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,21,,22.5760669,88.42006758,0.133323552,10.0,26.07000000000005,2022-02-23
19,9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359,,22.642931,88.8930579,0.012725571,,26.57000000000005,2022-03-05
20,10th week,Gujarat,Navsari,Acute Diarrhoeal Disease,57,,20.952407,72.9323831,0.000137449,4.0,34.77333340000001,2022-03-08
21,10th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,14,,23.2232877,72.6492267,7.1e-05,,34.23000000000002,2022-03-06
22,10th week,Gujarat,Anand,Acute Gastroenteritis,24,,22.5584995,72.9625629,5.63e-05,,34.19,2022-03-05
23,10th week,Telangana,Nalgonda,Dengue,6,,16.8579636,79.21749353,0.000133547,8.0,36.406000000000006,2022-03-11
24,10th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,556,,22.642931,88.8930579,0.012725571,,26.57000000000005,2022-03-05
25,10th week,Kerala,Trivandrum,Dengue,9,,8.4882267,76.947551,0.093703532,46.0,28.346000000000004,2022-02-22
26,10th week,Tamil Nadu,Ariyalur,Dengue,6,,11.07603595,79.11745538,0.012508729,10.0,30.234000000000037,2022-02-05
27,10th week,Tamil Nadu,Ariyalur,Pyrexia Of Unknown Origin,15,,11.07603595,79.11745538,0.083089587,10.0,27.20500000000004,2022-01-31
28,10th week,Tamil Nadu,Virudhunagar,Dengue,17,,9.5208936,77.8784564,0.307975438,7.0,32.85000000000002,2022-02-16
29,11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,25,,14.7874825,75.3996731,0.001275128,20.0,33.914000000000044,2022-03-17
30,11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,36,,14.7874825,75.3996731,0.001077243,20.0,33.870000000000005,2022-03-18
31,11th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,16,,9.98408,76.2741457,0.04311431,38.0,30.562000000000012,2022-03-11
32,11th week,Maharashtra,Akola,Chikungunya,9,,20.76181225,77.19211567,0.011401509,5.0,38.31666660000002,2022-03-12
33,11th week,Odisha,Koraput,Acute Diarrhoeal Disease,41,,18.7232023,82.60811828,0.000485165,,34.402000000000044,2022-03-22
34,12th week,Gujarat,Navsari,Acute Diarrhoeal Disease,19,,20.952407,72.9323831,8.8e-05,4.0,36.47000000000003,2022-03-27
35,12th week,Gujarat,Kheda,Acute Diarrhoeal Disease,19,,22.75,72.833333,8.42e-05,6.0,38.4733334,2022-03-23
36,12th week,Karnataka,Dakshin Kannada,Acute Diarrhoeal Disease,29,,12.8827367,75.0309089,0.154846349,23.0,30.510000000000048,2022-03-23
37,12th week,Maharashtra,Raigad,Dengue,11,,18.4928092,73.13807095,0.000180034,,39.03400000000005,2022-03-21
38,12th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,14,,11.07603595,79.11745538,0.00316601,8.0,35.286,2022-03-24
39,12th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,35,,22.5760669,88.42006758,0.01326398,13.0,31.80200000000002,2022-03-26
40,13th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,,9.98408,76.2741457,0.28021619,,29.410000000000025,2022-03-21
41,13th week,Kerala,Thrissur,Acute Diarrhoeal Disease,7,,10.5256264,76.2132542,0.629658683,,29.235000000000014,2022-03-30
42,13th week,Kerala,Thiruvananthapuram,Dengue,8,,8.4882267,76.947551,0.076192424,38.0,31.962000000000046,2022-03-16
43,13th week,Karnataka,Davanagere,Acute Diarrhoeal Disease,21,,14.4661266,75.9206361,0.015233737,,34.47500000000002,2022-03-29
44,13th week,Odisha,Koraput,Acute Diarrhoeal Disease,9,,18.7232023,82.60811828,5.11e-05,11.0,33.78200000000004,2022-03-04
45,13th week,Odisha,Ganjam,Acute Diarrhoeal Disease,83,,19.4129711,85.04710406,,,31.143333400000017,2022-03-05
46,13th week,Odisha,Ganjam,Acute Diarrhoeal Disease,69,,19.4129711,85.04710406,,11.0,30.498000000000047,2022-04-03
47,13th week,Odisha,Koraput,Acute Diarrhoeal Disease,8,,18.7232023,82.60811828,0.000614995,11.0,35.043333399999995,2022-03-28
48,13th week,Tamil Nadu,Pudukkottai,Dengue,15,,10.5,78.833333,0.067214393,,33.22000000000003,2022-03-30
49,14th week,Karnataka,Dakshina Kannada,Acute Diarrhoeal Disease,12,,12.9324457,74.9813132,0.151688393,19.0,30.07800000000003,2022-04-02
50,14th week,Telangana,Hyderabad,Acute Diarrhoeal Disease,95,,17.360589,78.4740613,0.000879936,6.0,39.714,2022-04-08
51,14th week,West Bengal,Hooghly,Cholera,50,,22.9052114,88.3760639,0.016061035,,28.617999999999995,2022-04-06
52,15th week,Odisha,Ganjam,Acute Diarrhoeal Disease,32,,19.4129711,85.04710406,,12.0,29.854000000000042,2022-04-11
53,15th week,Odisha,Ganjam,Acute Diarrhoeal Disease,39,,19.4129711,85.04710406,,12.0,29.410000000000025,2022-04-08
54,15th week,Tamil Nadu,Kallakurichi,Acute Diarrhoeal Disease,14,,11.7406259,78.9637131,0.351280164,10.0,39.420000000000016,2022-04-17
55,15th week,West Bengal,Paschim Medinipur,Acute Diarrhoeal Disease,105,,22.3599134,87.41331448,0.00157665,17.0,30.460000000000036,2022-04-12
56,15th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,132,,22.642931,88.8930579,0.124579567,16.0,29.556666600000028,2022-04-17
57,15th week,Kerala,Palakkad,Dengue,18,,10.78789845,76.47408711,0.207999916,23.0,32.31,2022-03-26
58,16th week,Haryana,Panipat,Acute Diarrhoeal Disease,6,,29.3912753,76.9771675,0.007797901,,36.66666660000004,2022-04-23
59,16th week,Kerala,Kollam,Acute Diarrhoeal Disease,61,,8.8879509,76.5955013,0.340955576,13.0,29.27000000000004,2022-04-24
60,16th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,6,,8.4882267,76.947551,0.765673624,40.0,29.095000000000027,2022-04-19
61,16th week,Odisha,Kandhamal,Acute Diarrhoeal Disease,11,,20.13069385,84.07904761,0.01136203,10.0,37.54200000000003,2022-04-18
62,16th week,Odisha,Ganjam,Cholera,23,,19.4129711,85.04710406,,11.0,31.403333400000008,2022-04-21
63,16th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,71,,22.5760669,88.42006758,0.00193066,10.0,31.783333400000004,2022-04-19
64,16th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,91,,23.41146995,87.84499445,0.106528719,11.0,32.863333400000045,2022-04-18
65,16th week,West Bengal,Howrah,Cholera,53,,22.5736296,88.3251045,0.002075952,10.0,32.117999999999995,2022-04-17
66,17th week,Karnataka,Hassan,Acute Diarrhoeal Disease,40,,13.0070817,76.0992703,0.098806027,10.0,30.720000000000027,2022-04-24
67,17th week,Kerala,Kollam,Acute Diarrhoeal Disease,63,,8.8879509,76.5955013,0.300202184,13.0,28.57000000000005,2022-04-29
68,17th week,Odisha,Ganjam,Acute Diarrhoeal Disease,29,,19.4129711,85.04710406,,11.0,33.166,2022-04-26
69,17th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,17,,11.07603595,79.11745538,0.030806768,8.0,37.01000000000005,2022-04-28
70,17th week,West Bengal,Hooghly,Acute Diarrhoeal Disease,40,,22.9052114,88.3760639,0.042264176,12.0,29.5,2022-04-25
71,17th week,Gujarat,Navsari,Acute Diarrhoeal Disease,21,,20.952407,72.9323831,0.004996546,5.0,25.805000000000007,2022-01-02
72,17th week,Kerala,Ernakulam,Dengue,16,,9.98408,76.2741457,0.297670268,30.0,30.246000000000038,2022-03-28
73,18th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,30,,16.21399145,81.02572814,0.001602219,7.0,35.605999999999995,2022-04-28
74,18th week,Gujarat,Sabarkantha,Dengue,4,3.0,24.0294885,73.0459884,0.000451824,7.0,45.32666660000001,2022-04-26
75,18th week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,10,,8.4882267,76.947551,0.277466418,45.0,28.536666600000046,2022-05-04
76,18th week,Madhya Pradesh,Mandsaur,Acute Diarrhoeal Disease,254,,24.2651306,75.38718194,0.011397078,3.0,44.216666599999996,2022-05-07
77,18th week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,113,,30.7041168,76.7176885,0.009009361,6.0,36.27333340000001,2022-04-25
78,18th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15,,12.7948109,79.0006411,0.112962571,10.0,33.422000000000025,2022-05-07
79,18th week,Jharkhand,East Singhbhum,Malaria,37,1.0,22.8092139,86.2091549,0.041429957,7.0,38.686666600000024,2022-04-21
80,18th week,Punjab,Kapurthala,Acute Diarrhoeal Disease,11,,31.38524095,75.30552274,0.018939754,5.0,37.641999999999996,2022-04-25
81,18th week,Karnataka,Hassan,Acute Diarrhoeal Disease,40,,13.0070817,76.0992703,0.004949535,10.0,30.595000000000027,2022-04-26
82,18th week,Karnataka,Shivamogga,Acute Diarrhoeal Disease,85,,13.9326093,75.574978,0.015284959,16.0,29.046666600000037,2022-05-07
83,19th week,Chhattisgarh,Gariyaband,Acute Diarrhoeal Disease,33,,20.52684285,82.187831,0.19697958,11.0,34.65500000000003,2022-05-13
84,19th week,Chhattisgarh,Janjgir Champa,Acute Diarrhoeal Disease,57,,21.9671264,82.66472425,0.003964035,9.0,38.25800000000004,2022-05-07
85,19th week,Gujarat,Navsari,Acute Diarrhoeal Disease,47,,20.952407,72.9323831,8.75e-05,3.0,34.4133334,2022-05-15
86,19th week,Karnataka,Kalaburagi,Cholera,144,,17.166667,77.083333,0.006687554,3.0,44.98200000000003,2022-05-07
87,19th week,Karnataka,Tumkur,Acute Diarrhoeal Disease,13,,13.3400771,77.1006208,0.44945788,9.0,30.430000000000007,2022-05-13
88,19th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,65,,9.98408,76.2741457,0.579496687,,27.65666660000005,2022-05-09
89,19th week,Kerala,Kozhikode,Acute Diarrhoeal Disease,100,,11.2450558,75.7754716,0.595196898,,,2022-05-08
90,19th week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,15,,26.166667,77.5,0.000211447,3.0,43.3366666,2022-05-13
91,19th week,Maharashtra,Jalgaon,Dengue,9,1.0,20.84288265,75.52612464,0.000181007,4.0,46.66666660000004,2022-05-06
92,19th week,Odisha,Ganjam,Acute Diarrhoeal Disease,22,,19.4129711,85.04710406,,11.0,29.716666599999996,2022-05-10
93,19th week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,18,,30.7041168,76.7176885,0.033614744,7.0,34.74333340000004,2022-05-11
94,19th week,Rajasthan,Bikaner,Acute Diarrhoeal Disease,27,,28.0159286,73.3171367,8.15e-05,2.0,48.379999999999995,2022-05-12
95,19th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15,,12.7948109,79.0006411,0.108199163,10.0,35.334,2022-05-06
96,19th week,West Bengal,Jalpaiguri,Dengue,272,,26.4733048,88.67886686,0.216141642,,31.450000000000045,2022-05-08
97,19th week,Maharashtra,Sindhudurg,Malaria (Pv),5,,16.1357193,73.6522086,0.011602965,19.0,32.533333400000004,2022-05-04
98,19th week,Karnataka,Hassan,Acute Diarrhoeal Disease,20,,13.0070817,76.0992703,0.154825336,,29.174000000000035,2022-05-09
99,20th week,Andhra Pradesh,Prakasam,Acute Diarrhoeal Disease,29,,15.6589741,79.47164373,0.964983839,6.0,35.09666660000005,2022-05-15
100,20th week,Assam,Udalguri,Acute Diarrhoeal Disease,14,,26.77253155,92.10641749,2.407587488,,27.77000000000004,2022-05-17
101,20th week,Kerala,Alappuzha,Dengue,7,,9.5006651,76.41241429,1.823726827,,,2022-05-17
102,20th week,Kerala,Thiruvananthapuram,Dengue,7,,8.4882267,76.947551,0.324766176,12.0,29.720000000000027,2022-05-13
103,20th week,Kerala,Wayanad,Acute Diarrhoeal Disease,22,,11.715219,76.12690295,0.621783565,6.0,28.400000000000034,2022-05-13
104,20th week,Karnataka,Ballari,Acute Diarrhoeal Disease,22,,15.2485413,76.8323648,0.231005367,,39.379999999999995,2022-05-17
105,20th week,Maharashtra,Pune,Dengue,21,,18.521428,73.8544541,0.008698042,,36.11500000000001,2022-05-16
106,20th week,Uttar Pradesh,Mirzapur,Acute Diarrhoeal Disease,12,,25.1010477,82.62574936,0.000417409,4.0,39.85000000000002,2022-05-18
107,20th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,13,,13.3400771,77.1006208,0.153914666,9.0,31.410000000000025,2022-05-11
108,20th week,Maharashtra,Pune,Dengue,12,,18.521428,73.8544541,0.01502899,,41.81,2022-04-23
109,20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,110,,25.4425965,92.29882747,1.120595492,17.0,28.863333400000045,2022-05-12
110,20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,60,,25.4425965,92.29882747,0.720570193,,27.30600000000004,2022-05-01
111,21st week,Arunachal Pradesh,West Kameng,Acute Diarrhoeal Disease,37,,27.4,92.35,1.087377988,18.0,18.710000000000036,2022-05-27
112,21st week,Kerala,Kozhikode,Acute Diarrhoeal Disease,42,,11.2450558,75.7754716,2.568560169,,,2022-05-24
113,21st week,Kerala,Palakkad,Acute Diarrhoeal Disease,29,,10.78789845,76.47408711,1.851591895,10.0,23.32000000000005,2022-05-23
114,21st week,Madhya Pradesh,Ratlam,Acute Diarrhoeal Disease,113,,23.4805919,74.91931943,2.79e-05,3.0,44.72000000000003,2022-05-22
115,21st week,Maharashtra,Chandrapur,Malaria,13,1.0,20.0967555,79.50454752,0.006072435,,41.39500000000004,2022-05-25
116,21st week,Odisha,Dhenkanal,Acute Diarrhoeal Disease,37,,20.75,85.5,0.006900563,16.0,31.870000000000005,2022-05-23
117,21st week,Puducherry,Karaikal,Acute Diarrhoeal Disease,113,,10.91571,79.8375761,0.037657789,11.0,33.73000000000002,2022-05-26
118,21st week,Uttar Pradesh,Sant Ravidas Nagar,Acute Diarrhoeal Disease,21,1.0,25.3560294,82.50057725,0.035829539,4.0,38.07400000000001,2022-05-21
119,21st week,Karnataka,Udupi,Dengue,92,,13.3419169,74.7473232,0.833167973,,29.400000000000034,2022-05-17
120,21st week,Kerala,Palakkad,Dengue,18,,10.78789845,76.47408711,0.750761822,11.0,29.35666660000004,2022-05-03
121,21st week,Punjab,Patiala,Acute Diarrhoeal Disease,218,2.0,30.2090874,76.33987209,0.000438239,5.0,38.373333400000035,2022-04-11
122,22nd week,Assam,Baksa,Acute Diarrhoeal Disease,15,,26.62758805,91.46190527,0.134141354,29.0,28.685000000000002,2022-05-31
123,22nd week,Gujarat,Chhota Udepur,Acute Diarrhoeal Disease,203,,22.3148736,74.0141067,0.297631983,5.0,36.823333400000024,2022-06-29
124,22nd week,Haryana,Gurugram,Acute Diarrhoeal Disease,6,,28.4646148,77.0299194,0.066657082,5.0,30.843333400000006,2022-05-30
125,22nd week,Karnataka,Kalaburagi,Acute Diarrhoeal Disease,16,,17.166667,77.083333,0.009536169,,42.410000000000025,2022-06-01
126,22nd week,Karnataka,Mysuru,Acute Diarrhoeal Disease,41,,12.3051828,76.6553609,0.144834229,12.0,28.718000000000018,2022-05-30
127,22nd week,Karnataka,Raichur,Acute Diarrhoeal Disease,321,3.0,16.083333,77.166667,0.001634859,4.0,37.726,2022-05-29
128,22nd week,Karnataka,Vijayapura,Chikungunya,13,,16.666667,75.916667,0.008072189,,39.322,2022-06-01
129,22nd week,Kerala,Alappuzha,Acute Diarrhoeal Disease,9,,9.5006651,76.41241429,0.831819129,24.0,26.085000000000036,2022-05-27
130,22nd week,Madhya Pradesh,Gwalior,Acute Diarrhoeal Disease,48,,26.2037247,78.1573628,0.00012832,8.0,34.17666660000003,2022-03-17
131,22nd week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,4,,26.166667,77.5,0.005249183,3.0,38.450000000000045,2022-05-31
132,22nd week,Madhya Pradesh,Narsinghpur,Acute Diarrhoeal Disease,136,2.0,22.9467047,79.1980228,0.028293647,9.0,34.92333340000005,2022-05-31
133,22nd week,Madhya Pradesh,Sheopur,Acute Diarrhoeal Disease,56,,25.6656611,76.6954843,2.4e-05,4.0,40.44,2022-06-04
134,22nd week,Maharashtra,Gadchiroli,Malaria,310,1.0,19.75907035,80.16228073,0.008761994,10.0,37.936666600000024,2022-05-29
135,22nd week,Maharashtra,Nagpur,Acute Diarrhoeal Disease,41,,21.1498134,79.0820556,0.036554435,,40.343333400000006,2022-06-01
136,22nd week,Maharashtra,Pune,Acute Diarrhoeal Disease,97,,18.521428,73.8544541,0.009360111,6.0,37.76333340000002,2022-05-20
137,22nd week,Maharashtra,Satara,Chikungunya,5,,17.63612885,74.29827808,0.00517904,5.0,42.214,2022-05-31
138,22nd week,Odisha,Mayurbhanj,Acute Diarrhoeal Disease,73,,21.75,86.5,0.183589476,14.0,31.29400000000004,2022-05-31
139,22nd week,Tamil Nadu,Dharmapuri,Acute Diarrhoeal Disease,24,,12.09680475,78.19304301,0.08874494,13.0,32.95500000000004,2022-06-03
140,22nd week,Tamil Nadu,Kallakurichi,Acute Diarrhoeal Disease,40,,11.7406259,78.9637131,0.20160623,12.0,33.78200000000004,2022-05-30
141,22nd week,Tamil Nadu,Thanjavur,Acute Diarrhoeal Disease,9,,10.7860267,79.1381497,0.164404422,9.0,37.15500000000003,2022-06-03
142,22nd week,Uttarakhand,Udham Singh Nagar,Acute Diarrhoeal Disease,39,,29.0480988,79.43131332,0.107819766,28.0,27.129999999999995,2022-05-30
143,22nd week,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,30,1.0,27.25264095,82.86964796,0.0587104,5.0,35.545000000000016,2022-05-31
144,22nd week,Andhra Pradesh,Nandyal,Acute Diarrhoeal Disease,21,1.0,15.52481495,78.41517104,0.490797293,,30.110000000000014,2022-05-16
145,22nd week,Arunachal Pradesh,Upper Siang,Malaria,36,,28.73120455,95.03773151,1.142611934,25.0,23.805000000000007,2022-05-12
146,22nd week,Chhattisgarh,Janjgir Champa,Acute Diarrhoeal Disease,33,,21.9671264,82.66472425,0.011738792,9.0,37.99400000000003,2022-05-23
147,22nd week,Jharkhand,Ranchi,Acute Diarrhoeal Disease,21,,23.3700501,85.3250387,0.065763006,8.0,35.238,2022-05-20
148,22nd week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,11,,8.4882267,76.947551,0.720542919,32.0,27.33000000000004,2022-05-26
149,23rd week,Assam,Dibrugarh,Acute Diarrhoeal Disease,18,,27.4844597,94.9019447,0.862114992,,21.53000000000003,2022-06-10
150,23rd week,Assam,Karbi Anglong,Acute Diarrhoeal Disease,54,,26.0,93.5,1.127105814,,,2022-06-09
151,23rd week,Assam,Sonitpur,Dengue,2,,26.76777075,92.70140886,0.593727141,9.0,28.646000000000015,2022-06-03
152,23rd week,Chhattisgarh,Jashpur,Acute Diarrhoeal Disease,12,,22.76678355,83.95304519,0.002634188,15.0,34.74600000000004,2022-06-07
153,23rd week,Gujarat,Junagadh,Acute Diarrhoeal Disease,25,,21.5174104,70.4642754,0.000833577,4.0,42.774,2022-06-06
154,23rd week,Jharkhand,West Singhbhum,Acute Diarrhoeal Disease,4,,22.7859232,86.1716093,0.13417507,11.0,32.90333340000001,2022-06-06
155,23rd week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,9,,8.4882267,76.947551,0.355742082,25.0,27.746000000000038,2022-06-07
156,23rd week,Madhya Pradesh,Bhopal,Acute Diarrhoeal Disease,32,,23.2584857,77.401989,4.81e-05,6.0,43.033333400000004,2022-06-07
157,23rd week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,12,,26.166667,77.5,4.75e-05,3.0,45.333333400000015,2022-06-07
158,23rd week,Maharashtra,Chandrapur,Malaria,3,1.0,20.0967555,79.50454752,0.006238415,6.0,38.170000000000016,2022-06-04
159,23rd week,Maharashtra,Latur,Acute Diarrhoeal Disease,21,,18.35159075,76.75542361,0.027191652,2.0,38.875,2022-06-07
160,23rd week,Maharashtra,Satara,Chikungunya,5,,17.63612885,74.29827808,0.029201873,5.0,38.358000000000004,2022-06-03
161,23rd week,Odisha,Khordha,Acute Diarrhoeal Disease,7,,20.22564715,85.56059465,0.001571476,,34.89000000000004,2022-06-10
162,23rd week,Rajasthan,Bhilwara,Acute Diarrhoeal Disease,160,,25.48877345,74.69961284,5.06e-05,3.0,43.843333400000006,2022-06-08
163,23rd week,Tamil Nadu,Dharmapuri,Acute Diarrhoeal Disease,26,,12.09680475,78.19304301,0.08874494,13.0,32.95500000000004,2022-06-03
164,23rd week,Tamil Nadu,Tiruchirappalli,Acute Diarrhoeal Disease,7,,10.7992254,78.6811423,0.05825984,9.0,35.04000000000002,2022-06-06
165,23rd week,Tamil Nadu,Tiruchirappalli,Cholera,17,,10.7992254,78.6811423,0.05825984,9.0,35.04000000000002,2022-06-06
166,23rd week,Tamil Nadu,Tiruchirappalli,Acute Diarrhoeal Disease,17,,10.7992254,78.6811423,0.05825984,9.0,35.04000000000002,2022-06-06
167,23rd week,Andhra Pradesh,Nandyal,Acute Diarrhoeal Disease,10,,15.52481495,78.41517104,0.000364604,16.0,34.30600000000004,2022-05-31
168,23rd week,Karnataka,Bbmp,Cholera,169,1.0,13.058135,77.50646228,0.046760732,12.0,29.533333400000004,2022-05-31
169,23rd week,Kerala,Ernakulam,Dengue,69,,9.98408,76.2741457,0.338997773,26.0,29.423333400000047,2022-04-24
170,23rd week,Maharashtra,Jalgaon,Chikungunya,9,,20.84288265,75.52612464,0.000207556,3.0,42.73000000000002,2022-05-23
171,23rd week,Tamil Nadu,Tenkasi,Dengue,19,,9.0318958,77.36536125,0.486404379,7.0,41.83000000000004,2022-05-20
172,24th week,Chhattisgarh,Balod,Acute Diarrhoeal Disease,8,1.0,20.73218365,81.14335738,0.091054552,9.0,39.75,2022-06-15
173,24th week,Himachal Pradesh,Solan,Dengue,34,,30.92589585,77.08200509,7.63e-05,,32.63666660000001,2022-06-10
174,24th week,Jharkhand,East Singhbhum,Acute Diarrhoeal Disease,21,1.0,22.8092139,86.2091549,0.083907168,10.0,33.35400000000004,2022-06-11
175,24th week,Karnataka,Chikkamagaluru,Acute Diarrhoeal Disease,37,,13.5,75.5,0.197532349,22.0,24.629999999999995,2022-06-11
176,24th week,Karnataka,Shivamogga,Acute Diarrhoeal Disease,45,,13.9326093,75.574978,0.182578161,12.0,28.510000000000048,2022-06-13
177,24th week,Karnataka,Kolar,Acute Diarrhoeal Disease,13,,13.1367201,78.1337246,0.103152696,13.0,32.05666660000003,2022-06-14
178,24th week,Karnataka,Dakshina Kannada,Acute Diarrhoeal Disease,18,,12.9324457,74.9813132,1.388208146,12.0,28.610000000000014,2022-06-13
179,24th week,Karnataka,Mandya,Acute Diarrhoeal Disease,14,,12.5238888,76.8961961,0.058549216,9.0,30.110000000000014,2022-06-12
180,24th week,Karnataka,Vijayapura,Chikungunya,16,,16.666667,75.916667,0.159472373,4.0,33.51400000000001,2022-06-12
181,24th week,Karnataka,Chikkaballapur,Dengue,28,1.0,13.6102243,77.5127721,0.345892089,10.0,30.91500000000002,2022-06-08
182,24th week,Madhya Pradesh,Rewa,Acute Diarrhoeal Disease,20,1.0,24.756718,81.65493469,0.000434934,4.0,42.26600000000002,2022-06-12
183,24th week,Maharashtra,Gondia,Malaria,47,1.0,21.455228,80.1962729,0.028822131,7.0,38.460000000000036,2022-06-13
